link,product_title,price,actual_price,ratings,color
https://www.daraz.com.np/products/primebook-4g-android-based-mediatek-mediatek-mt8788-4-gb64-gb-emmc-storageprime-os-4g-thin-and-light-laptop-116-inch-black-1065-kg-i129569211.html,"Primebook 4G Android Based MediaTek MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Laptop (11.6 Inch, Black, 1.065 Kg)",24990.0,27990.0,1.0,Black
https://www.daraz.com.np/products/chuwi-herobook-plus-156-windows-10-laptop-8gb-lpddr4256gb-ssdips-display-windows-10-home-plastic-thin-body-light-and-portable-free-gift-i105735203.html,"CHUWI HeroBook Plus 15.6"" Windows 10 Laptop 丨8GB LPDDR4丨256GB SSD丨IPS Display Windows 10 Home, Plastic Thin Body, Light and Portable + Free Gift",38499.0,65120.0,1.0,Grey
https://www.daraz.com.np/products/lenovo-v15-celeron-laptop-4gb256gb-ssd156-inch-display-i128162455.html,"Lenovo V15 celeron Laptop 4GB,256GB SSD,15.6 inch Display",33997.0,40000.0,1.0,Black
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-display-laptop-i129017788.html,"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop",55999.0,55999.0,13.0,Black
https://www.daraz.com.np/products/apple-macbook-air-13-inch-m1-256gb-oliz-store-i106600811.html,Apple MacBook Air 13-inch M1 256GB - Oliz Store,109900.0,139900.0,76.0,Space Grey
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-black-i129411877.html,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",68999.0,68999.0,22.0,Black
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-256gb-ssd-156-120hz-fhd-black-i128524301.html,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black",64000.0,64000.0,8.0,Black
https://www.daraz.com.np/products/acer-nitro-v-15-i7-13th-gen-13620h-16gb-ddr5-512gb-ssd-rtx-4050-6gb-156-fhd-144hz-i131403009.html,"Acer Nitro V 15 i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz",137999.0,137999.0,2.0,Black
https://www.daraz.com.np/products/lenovo-v15-celeron-4gb-ram-256gb-ssd156-inch-hd-display-i117911554.html,"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display",33998.0,45000.0,22.0,Black
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram-512gb-ssd-156-fhd-120hz-display-laptop-i128509518.html,"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD 120Hz Display Laptop",52500.0,52500.0,3.0,Black
https://www.daraz.com.np/products/dell-celeron-5470-intel-uhd-8256gb-ssd-i129342925.html,Dell Celeron 5470 Intel UHD 8/256GB SSD,35800.0,40000.0,5.0,Black
https://www.daraz.com.np/products/acer-aspire-3-ryzen-7-5700u-16-gb-ram-512-gb-ssd156-fhd-amd-gfx-win-11-i134922201.html,Acer Aspire 3 Ryzen 7 - 5700U / 16 GB RAM/ 512 GB SSD/15.6 FHD/ AMD Gfx/ Win 11,73990.0,89990.0,,Silver
https://www.daraz.com.np/products/acer-nitro-v-15-core-i5-13420h-13th-gen-16-gb-ddr5-ram-512-gb-ssd156-fhd-144-hrzrtx-2050-4gb-gfx-backlit-keyboard-win-11-i132059491.html,"Acer Nitro V 15 Core i5-13420H 13th Gen/ 16 GB DDR5 RAM/ 512 GB SSD/15.6"" FHD 144 Hrz/RTX 2050 4GB GFX/ Backlit Keyboard/ Win 11",101990.0,119990.0,1.0,Black
