link,price,actual_price,ratings,color,Brand,Model,Processor,RAM,Storage
https://www.daraz.com.np/products/dell-latitude-e7490-laptop-i7-8th-gen-256-gb-ssd-8-gb-ram-ultrabook-i123539511.html,55000.0,55000.0,4.0,Black,Dell,Latitude E7490 Laptop I7,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/lenovo-ideapad-slim-3i-2023-15-i3-13th-gen-8gb-ram-256gb-156-fhd-display-i128155035.html,51996.0,60000.0,2.0,Multicolor,Lenovo,IdeaPad Slim 3i 2023 15 ,i3 13Th Gen,8GB RAM,Unknown
https://www.daraz.com.np/products/hp-laptop-14-13th-gen-intel-core-i3-1315u-14-inch-fhd-8gb-ddr4-256-gb-ssd-intel-uhd-graphics-i140175146.html,55000.0,55000.0,0.0,Silver,HP, 13th Gen Intel Core ,i3-1315U,Unknown,Unknown
https://www.daraz.com.np/products/acer-swift-3-laptop-ryzen-7-5700u8gb512-gb14-fhdbacklit-keyboardwin-10-i110946950.html,105000.0,105000.0,3.0,Silver,Acer,Swift 3,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/primebook-4g-android-based-mediatek-mediatek-mt8788-4-gb64-gb-emmc-storageprime-os-4g-thin-and-light-laptop-116-inch-black-1065-kg-i129569211.html,24990.0,27990.0,1.0,Black,Primebook,4G Android Based MediaTek MediaTek MT8788,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/chuwi-herobook-plus-156-windows-10-laptop-8gb-lpddr4256gb-ssdips-display-windows-10-home-plastic-thin-body-light-and-portable-free-gift-i105735203.html,38499.0,65120.0,1.0,Grey,CHUWI,HeroBook Plus,Unknown,Unknown,256GB SSD
https://www.daraz.com.np/products/lenovo-v15-celeron-laptop-4gb256gb-ssd156-inch-display-i128162455.html,33997.0,40000.0,1.0,Black,Lenovo,V15 celeron,Unknown,Unknown,256GB SSD
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-display-laptop-i129017788.html,55999.0,55999.0,13.0,Black,Dell,Vostro 3520 ,i3 12th Gen,16GB RAM,512GB SSD
https://www.daraz.com.np/products/apple-macbook-air-13-inch-m1-256gb-oliz-store-i106600811.html,109900.0,139900.0,76.0,Space Grey,Apple,MacBook Air 13,M1,Unknown,Unknown
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-black-i129411877.html,68999.0,68999.0,22.0,Black,Dell,Vostro 3520 ,i5 12th Gen,16GB RAM,512GB SSD
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-256gb-ssd-156-120hz-fhd-black-i128524301.html,64000.0,64000.0,8.0,Black,Dell,Vostro 3520 ,i5 12th Gen,8GB RAM,256GB SSD
https://www.daraz.com.np/products/acer-nitro-v-15-i7-13th-gen-13620h-16gb-ddr5-512gb-ssd-rtx-4050-6gb-156-fhd-144hz-i131403009.html,137999.0,137999.0,2.0,Black,Acer,Nitro V 15 ,i7 13th Gen,Unknown,512GB SSD
https://www.daraz.com.np/products/lenovo-v15-celeron-4gb-ram-256gb-ssd156-inch-hd-display-i117911554.html,33998.0,45000.0,22.0,Black,Lenovo,V15 celeron,Unknown,4GB RAM,256GB SSD
